week,tree,branch,year,sub_branch,species,area_cm2,area_stem_mm2,lma_g_cm2,ldm_g,lma_old,area_old,sla_cm_g,alas_cm2_per_mm2,alas_measured,leaf_count
10,2004,1,0,NA,B,4.89747388967736,NA,0.0132721483491732,0.065,0.0132721483491732,4.89747388967736,75.3457521488825,NA,yes,9
10,2004,2,0,NA,B,5.7014671014924,NA,0.00789270536845173,0.045,0.00789270536845173,5.7014671014924,126.699268922053,NA,yes,9
10,2004,3,0,NA,B,5.92667855269748,NA,0.0140044713513648,0.083,0.0140044713513648,5.92667855269748,71.4057656951504,NA,yes,8
10,2004,4,0,NA,B,7.83922553987432,NA,0.0142871256134054,0.112,0.0142871256134054,7.83922553987432,69.9930851774493,NA,yes,11
10,2005,1,0,NA,B,14.1428123761948,NA,0.0148485318488331,0.21,0.0148485318488331,14.1428123761948,67.3467256009276,NA,yes,8
10,2005,2,0,NA,B,37.493622480158,NA,0.0116019731150333,0.435,0.0116019731150333,37.493622480158,86.1922355865701,NA,yes,7
10,2005,3,0,NA,B,62.0930142047919,NA,0.0110962562990995,0.689,0.0110962562990995,62.0930142047919,90.1204850577531,NA,yes,10
10,2005,4,0,NA,B,20.789467433522,NA,0.0120734213515867,0.251,0.0120734213515867,20.789467433522,82.8265634801673,NA,yes,7
10,2006,1,0,NA,B,10.0026557498962,NA,0.0136963625886477,0.137,0.0136963625886477,10.0026557498962,73.0120857656657,NA,yes,8
10,2006,2,0,NA,B,5.81815697258311,NA,0.0137500587173883,0.08,0.0137500587173883,5.81815697258311,72.7269621572889,NA,yes,7
10,2006,3,0,NA,B,12.0844030501546,NA,0.0139849688311942,0.169,0.0139849688311942,12.0844030501546,71.505343492039,NA,yes,7
10,2006,4,0,NA,B,5.555604762629,NA,0.0142198740506904,0.079,0.0142198740506904,5.555604762629,70.3241109193544,NA,yes,7
10,2301,1,1,NA,L,61.5457387093765,1.96066797510539,0.0184090730529714,1.133,0.0184090730529714,61.5457387093765,54.3210403436686,31.3901892063435,yes,9
10,2301,2,1,NA,L,19.419528346917,1.03417794039211,0.0161177961899209,0.313,0.0161177961899209,19.419528346917,62.0432215556454,18.7777437406507,yes,5
10,2301,3,1,NA,L,143.276491320025,3.81862550539248,0.0199195274375142,2.854,0.0199195274375142,143.276491320025,50.2019941555799,37.5204353288106,yes,14
