effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual,R2m,R2c,var
fixed,NA,(Intercept),-2.7989928075594634,0.29214974938937177,-9.580678447986678,6.81297275163373,3.372400507852541e-5,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,lwc_mean_centered,1.9868694144506753,1.531582749097939,1.2972654697376866,1.4931244272350637,0.35936127123888917,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__(Intercept),0.7813629075117402,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,cor__(Intercept).lwc_mean_centered,0.4310285075805467,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__lwc_mean_centered,2.507084973791753,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,Residual,sd__Observation,0.6188795762206524,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,(Intercept),-4.207912040119928,1.3201731349938133,-3.1873940838370776,5.317909347679072,0.022330374362270013,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,lwc_mean,3.94745785745626,2.0085423688392274,1.9653346221108428,4.555634772732332,0.11214022080652891,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__(Intercept),0.48594481146539303,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,cor__(Intercept).lwc_mean,-0.999999999862618,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__lwc_mean,0.6527990753639001,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__(Intercept),3.3009795102634807,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,cor__(Intercept).lwc_mean,-0.9999999999921052,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__lwc_mean,5.092480480535959,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,site,sd__(Intercept),0.29285642874839224,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,Residual,sd__Observation,0.9803509407106596,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,(Intercept),-4.207912040119928,1.3201731349938133,-3.1873940838370776,5.317909347679072,0.022330374362270013,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,lwc_mean,3.94745785745626,2.0085423688392274,1.9653346221108428,4.555634772732332,0.11214022080652891,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__(Intercept),0.48594481146539303,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,cor__(Intercept).lwc_mean,-0.999999999862618,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__lwc_mean,0.6527990753639001,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__(Intercept),3.3009795102634807,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,cor__(Intercept).lwc_mean,-0.9999999999921052,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__lwc_mean,5.092480480535959,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,site,sd__(Intercept),0.29285642874839224,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,Residual,sd__Observation,0.9803509407106596,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
NA,NA,NA,NA,NA,NA,NA,NA,space,59,0.6188795762206524,-65.09424883362006,142.1884976672401,154.65372233067444,130.1884976672401,53,0.04966281659732417,0.6622719590551203,lwc_mean
NA,NA,NA,NA,NA,NA,NA,NA,hyd,121,0.9803509407106596,-177.2600111124528,374.5200222249056,402.477927680873,354.5200222249056,111,0.16082902380202216,0.47981589349083054,lwc_mean
NA,NA,NA,NA,NA,NA,NA,NA,time,59,0.4886471850995673,-56.19195311987065,130.3839062397413,149.08174323489277,112.3839062397413,50,0.12440996567713766,0.7506565194538545,lwc_mean
NA,NA,NA,NA,NA,NA,NA,NA,interaction,59,0.4814434423484485,-58.33469685622363,132.66939371244726,149.289693263693,116.66939371244726,51,0.13559404010974765,0.7387949704316767,lwc_mean
