Time,psi,mpa,1_mpa,mass_g,stem_mass_g,rwc,100_rwc,stem_dry_wt_g,leaves_dry_wt_g,Tree,date,rehydrated,Weigh boat mass (g),Gasket mass (g),Parafilm mass (g),Tape mass (g),Other non-stem mass (g),total_nonsample_wt
16:27,65,-0.39,2.564102564,14.2936,1.6938,100,0,0.174,0.721,2382,4/5/22,yes,2.3451,10.0559,0.1988,,,12.5998
16:29,65,-0.39,2.564102564,14.2835,1.6837,99.40370764,0.59629236,,,2382,4/5/22,yes,,,,,,
16:34,80,-0.48,2.083333333,14.2642,1.6644,98.26425788,1.735742118,,,2382,4/5/22,yes,,,,,,
16:39,90,-0.54,1.851851852,14.2527,1.6529,97.58531113,2.414688865,,,2382,4/5/22,yes,,,,,,
16:49,115,-0.69,1.449275362,14.2411,1.6413,96.9004605,3.099539497,,,2382,4/5/22,yes,,,,,,
17:06,160,-0.96,1.041666667,14.228,1.6282,96.1270516,3.8729484,,,2382,4/5/22,yes,,,,,,
17:25,225,-1.35,0.740740741,14.2167,1.6169,95.45991262,4.540087377,,,2382,4/5/22,yes,,,,,,
17:47,290,-1.74,0.574712644,14.2034,1.6036,94.67469595,5.32530405,,,2382,4/5/22,yes,,,,,,
18:06,325,-1.95,0.512820513,14.1965,1.5967,94.2673279,5.732672098,,,2382,4/5/22,yes,,,,,,
18:32,370,-2.22,0.45045045,14.1867,1.5869,93.6887472,6.311252804,,,2382,4/5/22,yes,,,,,,
18:58,395,-2.37,0.421940928,14.1748,1.575,92.98618491,7.01381509,,,2382,4/5/22,yes,,,,,,
19:31,430,-2.58,0.387596899,14.1622,1.5624,92.24229543,7.75770457,,,2382,4/5/22,yes,,,,,,
9:04,20,-0.171,5.847953216,13.7492,1.1494,67.85925139,32.14074861,0.118,0.575,2381,4/5/22,yes,3.0803,9.1036,0.1912,0.3216,,12.6967
9:07,100,-0.43,2.325581395,13.7127,1.1129,65.70433345,34.29566655,,,2381,4/5/22,yes,,,,,,
9:10,120,-0.652,1.533742331,13.6796,1.0798,63.7501476,36.2498524,,,2381,4/5/22,yes,,,,,,
9:14,133,-1.77,0.564971751,13.6581,1.0583,62.48081237,37.51918763,,,2381,4/5/22,yes,,,,,,
9:19,175,-2.83,0.35335689,13.6443,1.0445,61.66607628,38.33392372,,,2381,4/5/22,yes,,,,,,
9:25,210,-2.98,0.33557047,13.6317,1.0319,60.9221868,39.0778132,,,2381,4/5/22,yes,,,,,,
9:30,236,-3.08,0.324675325,13.6179,1.0181,60.1074507,39.8925493,,,2381,4/5/22,yes,,,,,,
9:35,255,-3.28,0.304878049,13.599,0.9992,58.99161648,41.00838352,,,2381,4/5/22,yes,,,,,,
9:47,275,-3.52,0.284090909,13.5715,0.9717,57.36804818,42.63195182,,,2381,4/5/22,yes,,,,,,
9:58,290,-3.64,0.274725275,13.542,0.9422,55.62640217,44.37359783,,,2381,4/5/22,yes,,,,,,
9:41,57,-0.252,3.968253968,15.9159,3.3161,195.7787224,-95.7787224,0.213,0.294,2384,4/5/22,yes,3.0576,10.732,0.4175,,,14.2071
9:43,120,-0.955,1.047120419,15.8997,3.2999,194.8222931,-94.82229307,,,2384,4/5/22,yes,,,,,,
9:45,140,-1.82,0.549450549,15.8868,3.287,194.0606919,-94.06069194,,,2384,4/5/22,yes,,,,,,
9:50,158,-2.38,0.420168067,15.8711,3.2713,193.133782,-93.13378203,,,2384,4/5/22,yes,,,,,,
9:55,202,-2.7,0.37037037,15.8606,3.2608,192.5138741,-92.51387413,,,2384,4/5/22,yes,,,,,,
10:01,275,-3.03,0.330033003,15.8518,3.252,191.9943323,-91.99433227,,,2384,4/5/22,yes,,,,,,
10:08,315,-3.28,0.304878049,15.8382,3.2384,191.1914039,-91.19140394,,,2384,4/5/22,yes,,,,,,
10:18,348,-3.64,0.274725275,15.8236,3.2238,190.3294368,-90.32943677,,,2384,4/5/22,yes,,,,,,
10:28,389,-3.93,0.254452926,15.8038,3.204,189.1604676,-89.16046759,,,2384,4/5/22,yes,,,,,,
,,,,,,,,,,,,,,,,,,
10:22,45,-0.217,4.608294931,15.9824,3.3826,199.7048058,-99.70480576,0.471,0.622,2365,4/5/22,yes,2.987,10.732,0.3753,0.1733,,14.2676
10:24,60,-0.916,1.091703057,15.9409,3.3411,197.2546936,-97.25469359,,,2365,4/5/22,yes,,,,,,
10:26,77,-1.1,0.909090909,15.914,3.3142,195.6665486,-95.66654859,,,2365,4/5/22,yes,,,,,,
10:32,102,-1.38,0.724637681,15.8273,3.2275,190.5478805,-90.54788051,,,2365,4/5/22,yes,,,,,,
10:37,132,-1.68,0.595238095,15.8109,3.2111,189.5796434,-89.57964341,,,2365,4/5/22,yes,,,,,,
10:44,155,-2.08,0.480769231,15.7941,3.1943,188.5877908,-88.58779077,,,2365,4/5/22,yes,,,,,,
10:54,197,-2.6,0.384615385,15.7696,3.1698,187.141339,-87.141339,,,2365,4/5/22,yes,,,,,,
11:05,228,-3,0.333333333,15.7407,3.1409,185.4351163,-85.43511631,,,2365,4/5/22,yes,,,,,,
11:19,264,-3.3,0.303030303,15.7087,3.1089,183.5458732,-83.54587318,,,2365,4/5/22,yes,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10:48,33,-0.177,5.649717514,4.8158,-7.784,-459.5583894,559.5583894,,,2342.1,4/5/22,yes,3.0825,,0.3716,,,3.4541
10:50,48,-1.18,0.847457627,4.8016,-7.7982,-460.3967411,560.3967411,,,2342.1,4/5/22,yes,,,,,,
10:51,50,-1.39,0.71942446,4.7971,-7.8027,-460.6624159,560.6624159,,,2342.1,4/5/22,yes,,,,,,
10:56,85,-1.57,0.636942675,4.779,-7.8208,-461.731019,561.731019,,,2342.1,4/5/22,yes,,,,,,
11:01,134,-1.82,0.549450549,4.7469,-7.8529,-463.626166,563.626166,,,2342.1,4/5/22,yes,,,,,,
11:07,172,-2.22,0.45045045,4.7297,-7.8701,-464.6416342,564.6416342,,,2342.1,4/5/22,yes,,,,,,
11:16,250,-2.57,0.389105058,4.6877,-7.9121,-467.1212658,567.1212658,,,2342.1,4/5/22,yes,,,,,,
11:24,305,-3.25,0.307692308,4.5423,-8.0575,-475.7055142,575.7055142,,,2342.1,4/5/22,yes,,,,,,
11:28,328,-1.968,0.508130081,4.5897,-8.0101,-472.9070729,572.9070729,,,2342.1,4/5/22,yes,,,,,,
11:40,365,-2.19,0.456621005,4.5696,-8.0302,-474.0937537,574.0937537,,,2342.1,4/5/22,yes,,,,,,
11:52,384,-2.304,0.434027778,4.5463,-8.0535,-475.4693588,575.4693588,,,2342.1,4/5/22,yes,,,,,,
12:01,405,-2.43,0.411522634,4.5363,-8.0635,-476.0597473,576.0597473,,,2342.1,4/5/22,yes,,,,,,
2:27,15,-0.33,3.03030303,15.7776,3.1778,187.6136498,-87.61364978,0.123,0.36,2343.2,4/5/22,yes,3.0555,10.732,0.2503,,,14.0378
